@relation 'PC2_fix-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 10 {A,B,D,C}
@attribute 15 {B,A,C,D}
@attribute 35 {B,C,A,D}
@attribute 16 {A,B,C,D}
@attribute 4 {A,B,C,D}
@attribute 23 {B,A,C,D}
@attribute 19 {B,A,C,D}
@attribute 3 {A,B,C,D}
@attribute 36 {A,B,C,D}
@attribute 34 {A,B,C,D}
@attribute 31 {A,C,B,D}
@attribute 17 {B,D,A,C}
@attribute 24 {A,B,D,C}
@attribute 33 {A,B,C,D}
@attribute 32 {A,B,C,D}
@attribute 30 {A,C,B,D}
@attribute 11 {D,A,C,B}
@attribute 20 {A,B,C,D}
@attribute 12 {A,B,C,D}
@attribute 28 {A,B,C,D}
@attribute 21 {A,C,B,D}
@attribute 1 {A,B,C,D}
@attribute 18 {B,C,A,D}
@attribute 25 {D,C,A,B}
@attribute 6 {A,B,C,D}
@attribute 7 {B,C,D,A}
@attribute 13 {A,B,C,D}
@attribute 22 {B,A,C,D}
@attribute 26 {A,B,C,D}
@attribute 27 {A,B,C,D}
@attribute 5 {A,B,C,D}
@attribute 29 {A,B,C,D}
@attribute 2 {A,B,C,D}
@attribute 9 {A,B,D,C}
@attribute 8 {A,B,C,D}
@attribute 14 {A,D}
@attribute class {FALSE,TRUE}

@data
A,B,B,A,A,B,B,A,A,A,A,B,A,A,A,A,D,A,A,A,A,A,B,D,A,B,A,B,A,A,A,A,A,A,A,A,FALSE
A,B,C,A,A,B,B,A,A,A,C,B,B,A,B,C,D,B,A,A,C,A,C,D,A,B,A,A,A,A,A,A,A,A,A,A,FALSE
A,B,B,A,A,A,A,A,A,A,A,D,A,A,A,A,D,A,A,A,A,A,A,D,A,B,A,C,A,A,A,A,A,A,A,A,FALSE
A,B,B,A,A,A,A,A,A,A,A,D,A,A,B,A,D,A,A,A,A,A,A,D,A,B,A,D,A,A,A,A,A,A,A,A,FALSE
A,B,B,A,A,B,B,A,A,A,A,B,A,A,A,A,D,A,B,A,A,A,B,D,A,B,A,B,A,A,A,A,A,A,A,A,TRUE
A,B,C,A,A,B,B,A,A,A,C,B,B,B,A,C,D,B,B,A,C,A,C,D,A,B,A,A,A,A,A,A,A,A,A,A,FALSE
A,B,B,A,A,A,A,A,A,A,A,D,A,A,B,B,D,A,B,A,A,A,A,D,A,B,A,C,A,A,A,A,A,A,A,A,FALSE
A,B,B,A,A,A,A,A,A,A,A,D,A,A,B,B,D,B,B,A,A,A,A,D,A,B,A,C,A,A,A,A,A,A,A,A,FALSE
A,B,B,A,A,B,B,A,A,A,A,D,A,A,B,B,D,A,B,A,A,A,A,D,A,B,A,C,A,A,A,A,A,A,A,A,FALSE
A,B,C,A,A,B,B,A,A,A,B,D,B,A,C,C,D,B,B,A,B,A,A,D,A,B,A,C,A,A,A,A,A,A,A,A,FALSE
A,B,B,A,A,B,B,A,A,A,B,D,B,A,C,C,D,B,B,A,B,A,B,D,A,B,A,B,A,A,A,A,A,A,A,A,FALSE
A,B,B,A,A,B,B,A,A,A,B,B,B,A,B,C,A,B,B,A,B,A,B,C,A,B,A,B,A,A,A,A,A,B,A,A,FALSE
