@relation 'PC2_fix-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -W -M -1 -D 1 -K 10 -A 2-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 35 {B,C,A,D}
@attribute 25 {D,C,A,B}
@attribute 9 {A,B,D,C}
@attribute 29 {A,B,C,D}
@attribute 7 {B,C,D,A}
@attribute 4 {A,B,C,D}
@attribute 17 {B,D,A,C}
@attribute 22 {B,A,C,D}
@attribute 12 {A,B,C,D}
@attribute 18 {B,C,A,D}
@attribute 32 {A,B,C,D}
@attribute 30 {A,C,B,D}
@attribute 31 {A,C,B,D}
@attribute 21 {A,C,B,D}
@attribute 2 {A,B,C,D}
@attribute 27 {A,B,C,D}
@attribute 5 {A,B,C,D}
@attribute 11 {D,A,C,B}
@attribute 8 {A,B,C,D}
@attribute 24 {A,B,D,C}
@attribute 33 {A,B,C,D}
@attribute 34 {A,B,C,D}
@attribute 13 {A,B,C,D}
@attribute 23 {B,A,C,D}
@attribute 19 {B,A,C,D}
@attribute 20 {A,B,C,D}
@attribute 26 {A,B,C,D}
@attribute 3 {A,B,C,D}
@attribute 36 {A,B,C,D}
@attribute 6 {A,B,C,D}
@attribute 1 {A,B,C,D}
@attribute 28 {A,B,C,D}
@attribute 14 {A,D}
@attribute 15 {B,A,C,D}
@attribute 10 {A,B,D,C}
@attribute 16 {A,B,C,D}
@attribute class {FALSE,TRUE}

@data
B,D,A,A,B,A,B,B,A,B,A,A,A,A,A,A,A,D,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,B,A,A,FALSE
C,D,A,A,B,A,B,A,A,C,B,C,C,C,A,A,A,D,A,B,A,A,A,B,B,B,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,A,B,A,D,C,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,A,B,A,D,D,A,A,B,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,A,B,A,B,B,B,B,A,A,A,A,A,A,A,D,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,B,A,A,TRUE
C,D,A,A,B,A,B,A,B,C,A,C,C,C,A,A,A,D,A,B,B,A,A,B,B,B,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,A,B,A,D,C,B,A,B,B,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,A,B,A,D,C,B,A,B,B,A,A,A,A,A,D,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,A,B,A,D,C,B,A,B,B,A,A,A,A,A,D,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,B,A,A,FALSE
C,D,A,A,B,A,D,C,B,A,C,C,B,B,A,A,A,D,A,B,A,A,A,B,B,B,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,A,B,A,D,B,B,B,C,C,B,B,A,A,A,D,A,B,A,A,A,B,B,B,A,A,A,A,A,A,A,B,A,A,FALSE
B,C,B,A,B,A,B,B,B,B,B,C,B,B,A,A,A,A,A,B,A,A,A,B,B,B,A,A,A,A,A,A,A,B,A,A,FALSE
B,C,B,A,B,A,B,B,B,B,C,C,B,B,A,A,A,D,A,B,B,A,A,B,B,B,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,B,C,A,A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,A,C,A,A,C,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,B,C,A,A,C,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,B,C,A,A,C,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,C,C,A,A,C,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,B,C,A,A,D,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,B,C,A,A,D,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,C,C,A,A,D,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,B,C,A,A,B,A,B,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,B,C,A,A,B,A,B,A,A,A,A,A,A,A,D,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,B,C,A,A,A,A,C,A,A,A,A,A,A,A,D,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,A,C,A,B,C,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,A,C,A,B,C,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,B,C,A,B,C,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,B,C,A,B,C,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,C,C,A,B,C,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,B,C,A,B,D,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,B,C,A,B,D,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,TRUE
B,D,A,B,C,A,B,D,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,B,C,A,B,B,A,B,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,B,C,A,B,B,A,B,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,TRUE
B,D,A,B,C,A,B,B,A,B,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,A,C,A,B,B,A,B,A,A,A,A,A,A,A,D,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,A,C,A,B,B,A,B,B,A,A,A,A,A,A,D,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,A,C,A,B,B,A,B,A,B,A,A,A,A,A,D,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,B,C,A,B,B,A,B,A,A,A,A,A,A,A,D,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,A,C,A,D,C,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,A,C,A,D,D,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,B,C,A,D,D,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,A,C,A,D,B,A,B,B,C,A,A,A,A,A,D,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,A,C,A,D,D,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,FALSE
A,D,A,B,C,A,A,A,B,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,B,C,A,A,C,B,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,B,C,A,A,C,B,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,B,C,A,A,D,B,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,B,C,A,A,B,B,B,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,B,C,A,A,B,B,B,A,A,A,A,A,A,A,D,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,A,C,A,B,C,B,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,A,C,A,B,C,B,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,D,A,B,C,A,B,C,B,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
B,D,A,B,C,A,B,C,B,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
